"","Season","Team","Roster Continuity","Lg","W","L","WP","Finish","SRS","Pace","Rel_Pace","ORtg","Rel_ORtg","DRtg","Rel_DRtg","Playoffs","Coaches","Top.WS","Winning.Percentage.ratio"
"52","1966","BOS",0.8,"NBA",60,21,0.741,2,7.24,121.2,-0.4,97.5,1.4,91,-5.1,"Lost E. Div. Finals","B. Russell (60-21)","B. Russell (12.2)",1.11111111111111
"53","1965","BOS",0.88,"NBA",54,26,0.675,2,4.34,122,0.6,92.3,-2.6,88.3,-6.6,"Won Finals","R. Auerbach (54-26)","B. Russell (11.7)",0.870967741935484
"54","1964","BOS",0.91,"NBA",62,18,0.775,1,7.46,123.6,6.3,90.9,-2.7,84.2,-9.4,"Won Finals","R. Auerbach (62-18)","B. Russell (16.9)",1.05084745762712
"55","1963","BOS",0.9,"NBA",59,21,0.738,1,6.93,125,11.8,90.1,-4.5,83.8,-10.8,"Won Finals","R. Auerbach (59-21)","B. Russell (17.3)",1.01724137931034
"56","1962","BOS",0.84,"NBA",58,22,0.725,1,6.38,127.3,12.3,93,-2.9,87.4,-8.5,"Won Finals","R. Auerbach (58-22)","B. Russell (13.5)",0.966666666666667
"57","1961","BOS",0.94,"NBA",60,20,0.75,1,8.25,130.8,9.5,92.1,-1.5,85.1,-8.5,"Won Finals","R. Auerbach (60-20)","B. Russell (15.5)",1.05263157894737
"58","1960","BOS",0.94,"NBA",57,22,0.722,1,4.94,134.4,10.9,88.7,-3.4,84.5,-7.6,"Won Finals","R. Auerbach (57-22)","B. Russell (13.0)",0.966101694915254
"59","1959","BOS",0.93,"NBA",59,16,0.787,1,7.62,136.3,14,91,-0.1,84.9,-6.2,"Won Finals","R. Auerbach (59-16)","B. Russell (13.8)",1.13461538461538
"60","1958","BOS",0.89,"NBA",52,20,0.722,1,5.84,128.7,16.7,89.5,-0.7,84.5,-5.7,"Won Finals","R. Auerbach (52-20)","B. Russell (12.9)",1.06122448979592
"61","1957","BOS",0.97,"NBA",49,23,0.681,1,5.02,124.8,7.8,88,-0.8,83.6,-5.2,"Lost Finals","R. Auerbach (49-23)","B. Russell (11.3)",1.11363636363636
"62","1956","BOS",0.61,"NBA",44,28,0.611,1,4.78,118,13.1,88.5,-0.4,84,-4.9,"Won Finals","R. Auerbach (44-28)","B. Sharman (10.4)",1.12820512820513
"63","1955","BOS",0.66,"NBA",39,33,0.542,2,0.72,114.5,11.7,92.2,1.9,91.7,1.4,"Lost E. Div. Semis","R. Auerbach (39-33)","B. Sharman (8.8)",1.08333333333333
"64","1954","BOS",0.65,"NBA",36,36,0.5,3,-0.03,108.6,10.5,93,3.2,93,3.2,"Lost E. Div. Finals","R. Auerbach (36-36)","E. Macauley (8.9)",0.857142857142857
"65","1953","BOS",0.87,"NBA",42,30,0.583,3,1.97,93,9.4,92.5,5,90,2.5,"Lost E. Div. Finals","R. Auerbach (42-30)","E. Macauley (14.6)",0.91304347826087
"66","1952","BOS",0.95,"NBA",46,25,0.648,3,1.94,94.7,14.2,91.7,3.7,89.3,1.6,"Lost E. Div. Finals","R. Auerbach (46-25)","E. Macauley (14.5)",1.17948717948718
